number,freq,R,C0,Cq,q1000,Tmax,Rc/Rb,Resistor
JM0515,-0.1,65.9,2.87,0.190,1235,84.3,1.35,7580
JM0516,-0.1,66.6,2.89,0.190,1234,85.3,1.38,7193
JM0519,0.2,67.7,2.89,0.190,1213,86.5,1.38,6764
JM0520,-0.5,67.5,2.89,0.190,1228,84.2,1.36,7388
JM0524,-0.1,66.7,2.84,0.190,1244,83.5,1.38,8195
JM0525,0.1,65.9,2.85,0.190,1247,86.8,1.40,6303
JM0526,-0.1,66.0,2.85,0.190,1239,84.7,1.43,7323
JM0528,0.0,66.9,2.83,0.190,1241,83.8,1.41,7938
JM0530,-0.1,65.4,2.88,0.200,1237,86.1,1.39,6966
JM0254,-0.1,67.9,2.88,0.190,1213,85.3,1.36,7217
JM0255,-0.5,67.8,2.87,0.190,1199,85.3,1.41,7455
JM0257,-0.1,70.8,2.84,0.190,1184,87.1,1.37,5366
JM0258,0.0,68.7,2.85,0.190,1201,83.9,1.41,7806
JM0259,-0.2,67.9,2.85,0.190,1209,82.9,1.44,8082
JM0260,-0.1,68.2,2.88,0.190,1235,85.3,1.39,7237
JM0263,-0.1,66.5,2.88,0.190,1228,85.8,1.37,6625
JM0267,-0.3,69.4,2.83,0.190,1191,85.5,1.40,6905
JM0574,-0.1,64.9,2.87,0.190,1263,86.8,1.29,6280
JM0575,-0.4,65.8,2.91,0.200,1232,83.8,1.42,7326
JM0577,-0.3,67.1,2.86,0.190,1243,87.3,1.42,6285
JM0578,-0.3,66.3,2.93,0.190,1238,85.9,1.42,6875
JM0582,0.0,65.4,2.86,0.190,1242,86.3,1.42,6341
JM0583,0.0,66.9,2.86,0.190,1219,84.2,1.42,7119
JM0584,-0.2,69.5,2.89,0.190,1185,84.6,1.39,7047
JM0585,-0.1,65.8,2.89,0.190,1239,87.1,1.41,5716
JM0586,-0.3,66.4,2.89,0.190,1248,84.0,1.42,7378
JM0588,-0.2,66.5,2.89,0.190,1242,84.0,1.39,7408
JM1205,-1.2,71.3,2.87,0.190,1160,84.0,1.36,7038
JM1206,-0.5,69.3,2.82,0.190,1185,83.2,1.40,7691
JM1207,-0.3,68.6,2.82,0.190,1201,83.9,1.40,7041
JM1210,-0.4,70.5,2.80,0.190,1168,83.3,1.36,7181
JM1430,0.1,65.1,2.89,0.200,1245,91.3,1.39,6688
JM1434,-0.2,65.9,2.89,0.190,1242,91.8,1.42,6000
JM1435,-0.6,66.3,2.83,0.190,1250,88.5,1.40,7446
JM1436,-0.4,66.0,2.88,0.190,1238,93.6,1.33,6908
JM1437,-0.2,69.7,2.86,0.190,1187,86.5,1.47,7904
JM1438,-0.4,65.8,2.85,0.190,1255,94.6,1.38,6000
JM1439,-0.3,66.0,2.84,0.190,1244,91.3,1.39,6460
JM6076,-0.1,65.5,2.84,0.190,1254,82.9,1.40,8292
JM6077,-0.1,66.0,2.85,0.190,1252,85.8,1.40,7658
JM6078,0.4,66.1,2.83,0.190,1249,86.3,1.40,7109
JM6079,0.4,64.7,2.81,0.190,1262,85.7,1.32,7538
JM6080,0.1,65.8,2.80,0.190,1241,85.2,1.35,7634
JM6083,-0.1,66.3,2.81,0.190,1249,87.1,1.42,6705
JM6085,-0.3,66.8,2.88,0.190,1235,88.7,1.42,6000
JM6086,0.2,66.3,2.80,0.190,1254,89.0,1.41,6000
JM6087,-0.2,66.0,2.87,0.190,1256,89.5,1.41,6000
JM6088,0.5,65.4,2.84,0.190,1252,83.8,1.35,8296
JM6089,0.0,66.4,2.83,0.190,1230,86.2,1.38,6787
JM6090,0.2,68.8,2.80,0.190,1198,81.9,1.39,7905
JM6091,0.3,70.7,2.82,0.190,1167,89.6,1.39,6000
JM6092,0.0,69.0,2.85,0.190,1176,87.0,1.36,7148
JN3277,0.4,65.7,2.89,0.190,1274,82.0,1.38,8434
JN3279,-0.3,66.0,2.91,0.190,1277,81.9,1.40,8784
JN3280,-0.1,65.9,2.84,0.190,1257,80.3,1.42,9848
JN3281,-0.2,66.8,2.86,0.190,1239,81.5,1.39,8619
JN3282,0.0,66.1,2.86,0.190,1247,84.5,1.39,7506
JN3283,-0.2,64.5,2.90,0.190,1271,81.8,1.39,8390
JN3284,0.3,66.5,2.84,0.190,1237,80.0,1.42,9179
JN3286,0.0,66.2,2.85,0.190,1242,83.5,1.37,8342
JN3288,0.4,65.8,2.89,0.190,1234,81.8,1.42,8100
JN3291,-0.3,65.5,2.88,0.190,1278,81.4,1.41,9192
JN3292,-0.4,67.5,2.87,0.190,1249,80.0,1.17,9355
JN4433,0.5,67.9,2.85,0.190,1198,86.0,1.38,7432
JN4446,0.5,67.8,2.84,0.190,1214,82.7,1.38,8528
JO8441,-0.6,70.9,2.76,0.190,1175,82.2,1.38,8808
JO8451,-1.0,72.4,2.81,0.180,1218,82.0,1.30,9135
JO8452,-1.3,73.5,2.76,0.180,1188,82.6,1.33,8425
JO8442,-0.8,73.9,2.78,0.180,1173,84.7,1.22,7693
JO8446,-0.9,70.5,2.76,0.190,1206,82.4,1.40,8310
JO8449,-0.6,69.5,2.79,0.200,1146,87.6,1.33,6367
JO8447,-1.0,79.6,2.75,0.180,1106,80.3,1.37,9266
JO8454,-1.2,76.5,2.78,0.180,1148,79.2,1.32,9999
JO8455,-0.9,71.4,2.80,0.190,1154,79.2,1.25,9501
JO8456,-0.8,74.4,2.77,0.190,1124,81.7,1.46,8811
JO8443,-0.6,70.4,2.81,0.190,1193,84.7,1.34,7535
JO8450,-0.8,72.8,2.78,0.190,1138,84.6,1.32,7453
JP0854,-0.8,68.5,2.75,0.190,1189,84.4,1.37,8373
JP0855,-0.4,70.0,2.73,0.190,1193,80.9,1.38,8910
JP0857,-0.6,72.8,2.92,0.190,1141,85.9,1.33,7292
JP0858,-0.7,71.9,2.76,0.190,1163,80.3,1.31,9931
JP0859,-0.6,72.3,2.89,0.190,1163,82.3,1.22,8449
